2026-02-26T20:40:57.644Z [ODDS]  Sindri: 20/23 → 20/27, Fylkir: 4/5 → 20/21
2026-02-26T20:41:07.114Z [ODDS]  Sindri: 20/27 → 4/5, Fylkir: 20/21 → 20/23
2026-02-26T20:41:07.114Z [EVENT]  score: 81-95
2026-02-26T20:41:08.467Z [EVENT]  score: 81-92
2026-02-26T20:41:10.722Z [ODDS]  Sindri: 4/5 → 20/27, Fylkir: 20/23 → 20/21
2026-02-26T20:41:11.625Z [ODDS]  Sindri: 20/27 → 4/5, Fylkir: 20/21 → 20/23
2026-02-26T20:41:29.664Z [EVENT]  score: 83-92
2026-02-26T20:43:42.712Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:44:04.810Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:44:04.810Z [EVENT]  score: 83-94
2026-02-26T20:44:16.537Z [EVENT]  score: 85-94
2026-02-26T20:44:32.321Z [ODDS]  Sindri: 20/23 → 20/21, Fylkir: 4/5 → 20/27
2026-02-26T20:44:40.441Z [ODDS]  Sindri: 20/21 → 20/27, Fylkir: 20/27 → 20/21
2026-02-26T20:44:40.441Z [EVENT]  score: 85-96
2026-02-26T20:44:49.460Z [ODDS]  Sindri: 20/27 → 4/5, Fylkir: 20/21 → 20/23
2026-02-26T20:45:04.343Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:45:26.445Z [ODDS]  Sindri: 5/6 → 20/21, Fylkir: 5/6 → 20/27
2026-02-26T20:45:57.112Z [ODDS]  Sindri: 20/21 → 20/27, Fylkir: 20/27 → 20/21
2026-02-26T20:46:16.064Z [ODDS]  Sindri: 20/27 → 4/5, Fylkir: 20/21 → 20/23
2026-02-26T20:46:18.313Z [EVENT]  score: 85-98
2026-02-26T20:46:34.100Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:46:34.100Z [EVENT]  score: 87-98
2026-02-26T20:46:48.077Z [ODDS]  Sindri: 5/6 → 20/27, Fylkir: 5/6 → 20/21
2026-02-26T20:47:06.118Z [ODDS]  Sindri: 20/27 → 20/21, Fylkir: 20/21 → 20/27
2026-02-26T20:47:16.943Z [ODDS]  Sindri: 20/21 → 5/6, Fylkir: 20/27 → 5/6
2026-02-26T20:47:18.747Z [ODDS]  Sindri: 5/6 → 1/1, Fylkir: 5/6 → 5/7
2026-02-26T20:47:20.100Z [ODDS]  Sindri: 1/1 → 5/6, Fylkir: 5/7 → 5/6
2026-02-26T20:47:23.261Z [EVENT]  score: 87-100
2026-02-26T20:47:51.222Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:47:59.431Z [ODDS]  Sindri: 20/23 → 20/21, Fylkir: 4/5 → 20/27
2026-02-26T20:48:29.197Z [ODDS]  Sindri: 20/21 → 21/20, Fylkir: 20/27 → 20/29
2026-02-26T20:48:35.060Z [ODDS]  Sindri: 21/20 → 11/10, Fylkir: 20/29 → 4/6
2026-02-26T20:48:42.275Z [ODDS]  Sindri: 11/10 → 20/23, Fylkir: 4/6 → 4/5
2026-02-26T20:49:07.531Z [ODDS]  Sindri: 20/23 → 4/5, Fylkir: 4/5 → 20/23
2026-02-26T20:49:07.531Z [EVENT]  score: 87-101
2026-02-26T20:49:20.163Z [ODDS]  Sindri: 4/5 → 4/6, Fylkir: 20/23 → 11/10
2026-02-26T20:49:20.163Z [EVENT]  score: 87-102
2026-02-26T20:49:46.319Z [ODDS]  Sindri: 4/6 → 20/29, Fylkir: 11/10 → 21/20
2026-02-26T20:50:06.636Z [ODDS]  Sindri: 20/29 → 5/7, Fylkir: 21/20 → 1/1
2026-02-26T20:50:07.087Z [ODDS]  Sindri: 5/7 → 20/29, Fylkir: 1/1 → 21/20
2026-02-26T20:50:08.440Z [ODDS]  Sindri: 20/29 → 5/7, Fylkir: 21/20 → 1/1
2026-02-26T20:50:11.598Z [EVENT]  score: 87-104
2026-02-26T20:50:30.993Z [ODDS]  Sindri: 5/7 → 20/29, Fylkir: 1/1 → 21/20
2026-02-26T20:50:37.754Z [ODDS]  Sindri: 20/29 → 20/27, Fylkir: 21/20 → 20/21
2026-02-26T20:50:42.715Z [ODDS]  Sindri: 20/27 → 5/6, Fylkir: 20/21 → 5/6
2026-02-26T20:50:49.932Z [ODDS]  Sindri: 5/6 → 5/4, Fylkir: 5/6 → 4/7
2026-02-26T20:51:25.109Z [ODDS]  Sindri: 5/4 → 10/21, Fylkir: 4/7 → 31/20
2026-02-26T20:51:25.109Z [EVENT]  score: 88-104
2026-02-26T20:51:26.920Z [ODDS]  Sindri: 10/21 → 5/6, Fylkir: 31/20 → 5/6
2026-02-26T20:51:26.920Z [EVENT]  score: 89-104
2026-02-26T20:51:30.070Z [ODDS]  Sindri: 5/6 → 0/0, Fylkir: 5/6 → 0/0
