2026-02-26T20:15:08.751Z [EVENT]  score: 49-58
2026-02-26T20:15:39.869Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:15:53.857Z [ODDS]  Sindri: 20/23 → 5/6, Fylkir: 4/5 → 5/6
2026-02-26T20:16:02.878Z [EVENT]  score: 50-58
2026-02-26T20:16:27.684Z [EVENT]  score: 50-60
2026-02-26T20:16:37.161Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:16:57.901Z [ODDS]  Sindri: 20/23 → 5/6, Fylkir: 4/5 → 5/6
2026-02-26T20:17:17.746Z [ODDS]  Sindri: 5/6 → 4/5, Fylkir: 5/6 → 20/23
2026-02-26T20:17:17.746Z [EVENT]  score: 52-60
2026-02-26T20:17:33.085Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:17:33.085Z [EVENT]  score: 52-62
2026-02-26T20:17:48.420Z [EVENT]  score: 54-62
2026-02-26T20:18:35.319Z [ODDS]  Sindri: 5/6 → 4/5, Fylkir: 5/6 → 20/23
2026-02-26T20:18:40.280Z [ODDS]  Sindri: 4/5 → 20/23, Fylkir: 20/23 → 4/5
2026-02-26T20:19:04.636Z [ODDS]  Sindri: 20/23 → 5/6, Fylkir: 4/5 → 5/6
2026-02-26T20:19:04.636Z [EVENT]  score: 54-63
2026-02-26T20:19:22.223Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:19:23.576Z [ODDS]  Sindri: 20/23 → 5/6, Fylkir: 4/5 → 5/6
2026-02-26T20:19:46.579Z [ODDS]  Sindri: 5/6 → 4/5, Fylkir: 5/6 → 20/23
2026-02-26T20:19:47.932Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:20:14.099Z [EVENT]  score: 56-63
2026-02-26T20:20:33.033Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:20:33.034Z [EVENT]  score: 56-65
2026-02-26T20:21:02.350Z [ODDS]  Sindri: 20/23 → 4/5, Fylkir: 4/5 → 20/23
2026-02-26T20:21:02.350Z [EVENT]  score: 56-67
2026-02-26T20:22:00.982Z [ODDS]  Sindri: 4/5 → 5/6, Fylkir: 20/23 → 5/6
2026-02-26T20:22:00.982Z [EVENT]  score: 56-69
2026-02-26T20:22:04.136Z [EVENT]  score: 58-69
2026-02-26T20:22:39.770Z [ODDS]  Sindri: 5/6 → 20/23, Fylkir: 5/6 → 4/5
2026-02-26T20:23:12.690Z [ODDS]  Sindri: 20/23 → 4/5, Fylkir: 4/5 → 20/23
