2026-02-27T01:50:05.277Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5, DAL Mavericks (BLADE): 5/6 → 20/23
2026-02-27T01:50:05.277Z [EVENT]  score: 33-38
2026-02-27T01:50:40.452Z [ODDS]  DEN Nuggets (STING): 4/5 → 20/27, DAL Mavericks (BLADE): 20/23 → 20/21
2026-02-27T01:50:40.452Z [EVENT]  score: 35-38
2026-02-27T01:50:55.786Z [ODDS]  DEN Nuggets (STING): 20/27 → 4/5, DAL Mavericks (BLADE): 20/21 → 20/23
2026-02-27T01:50:55.786Z [EVENT]  score: 35-40
2026-02-27T01:51:13.376Z [ODDS]  DEN Nuggets (STING): 4/5 → 20/23, DAL Mavericks (BLADE): 20/23 → 4/5
2026-02-27T01:51:41.338Z [ODDS]  DEN Nuggets (STING): 20/23 → 5/6, DAL Mavericks (BLADE): 4/5 → 5/6
2026-02-27T01:51:41.338Z [EVENT]  score: 37-40
2026-02-27T01:52:06.593Z [ODDS]  DEN Nuggets (STING): 5/6 → 20/27, DAL Mavericks (BLADE): 5/6 → 20/21
2026-02-27T01:52:06.593Z [EVENT]  score: 37-42
2026-02-27T01:52:18.770Z [ODDS]  DEN Nuggets (STING): 20/27 → 4/5, DAL Mavericks (BLADE): 20/21 → 20/23
2026-02-27T01:52:22.829Z [EVENT]  score: 39-42
2026-02-27T01:52:33.362Z [ODDS]  DEN Nuggets (STING): 4/5 → 5/6, DAL Mavericks (BLADE): 20/23 → 5/6
2026-02-27T01:52:33.362Z [EVENT]  score: 39-45
2026-02-27T01:52:59.069Z [ODDS]  DEN Nuggets (STING): 5/6 → 20/23, DAL Mavericks (BLADE): 5/6 → 4/5
2026-02-27T01:52:59.069Z [EVENT]  score: 39-47
2026-02-27T01:53:12.600Z [ODDS]  DEN Nuggets (STING): 20/23 → 5/6, DAL Mavericks (BLADE): 4/5 → 5/6
2026-02-27T01:53:12.600Z [EVENT]  score: 41-47
2026-02-27T01:53:23.425Z [ODDS]  DEN Nuggets (STING): 5/6 → 20/23, DAL Mavericks (BLADE): 5/6 → 4/5
2026-02-27T01:53:32.897Z [ODDS]  DEN Nuggets (STING): 20/23 → 5/6, DAL Mavericks (BLADE): 4/5 → 5/6
2026-02-27T01:53:41.914Z [ODDS]  DEN Nuggets (STING): 5/6 → 20/27, DAL Mavericks (BLADE): 5/6 → 20/21
2026-02-27T01:53:41.915Z [EVENT]  score: 44-47
2026-02-27T01:53:58.150Z [ODDS]  DEN Nuggets (STING): 20/27 → 4/5, DAL Mavericks (BLADE): 20/21 → 20/23
2026-02-27T01:53:58.150Z [EVENT]  score: 44-49
2026-02-27T01:54:00.860Z [ODDS]  DEN Nuggets (STING): 4/5 → 5/6, DAL Mavericks (BLADE): 20/23 → 5/6, DEN Nuggets (STING): 5/6 → 20/23, DAL Mavericks (BLADE): 5/6 → 4/5
2026-02-27T01:54:00.860Z [ODDS]  DEN Nuggets (STING): 20/23 → 5/6, DAL Mavericks (BLADE): 4/5 → 5/6, DEN Nuggets (STING): 5/6 → 20/23, DAL Mavericks (BLADE): 5/6 → 4/5
2026-02-27T01:54:07.170Z [ODDS]  DEN Nuggets (STING): 20/23 → 5/6, DAL Mavericks (BLADE): 4/5 → 5/6
2026-02-27T01:54:07.170Z [EVENT]  score: 44-50
2026-02-27T01:54:30.171Z [ODDS]  DEN Nuggets (STING): 5/6 → 4/5, DAL Mavericks (BLADE): 5/6 → 20/23
2026-02-27T01:54:40.995Z [ODDS]  DEN Nuggets (STING): 4/5 → 5/6, DAL Mavericks (BLADE): 20/23 → 5/6
2026-02-27T01:54:40.995Z [EVENT]  score: 44-52
