2026-02-26T20:51:19.269Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 4/5, MIA Heat (Pakapaka): 5/6 → 20/23
2026-02-26T20:51:57.583Z [ODDS]  MIL Bucks (Dzmn): 4/5 → 20/23, MIA Heat (Pakapaka): 20/23 → 4/5
2026-02-26T20:51:57.583Z [EVENT]  score: 42-35
2026-02-26T20:52:17.432Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 5/6, MIA Heat (Pakapaka): 4/5 → 5/6
2026-02-26T20:52:17.432Z [EVENT]  score: 42-37
2026-02-26T20:52:42.244Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/23, MIA Heat (Pakapaka): 5/6 → 4/5
2026-02-26T20:52:46.757Z [ODDS]  MIL Bucks (Dzmn): 20/23 → 20/21, MIA Heat (Pakapaka): 4/5 → 20/27
2026-02-26T20:52:46.757Z [EVENT]  score: 42-39
2026-02-26T20:53:08.407Z [ODDS]  MIL Bucks (Dzmn): 20/21 → 20/27, MIA Heat (Pakapaka): 20/27 → 20/21
2026-02-26T20:53:22.833Z [ODDS]  MIL Bucks (Dzmn): 20/27 → 11/10, MIA Heat (Pakapaka): 20/21 → 4/6
2026-02-26T20:53:22.833Z [EVENT]  score: 42-41
2026-02-26T20:53:31.402Z [ODDS]  MIL Bucks (Dzmn): 11/10 → 28/25, MIA Heat (Pakapaka): 4/6 → 20/31
2026-02-26T20:53:39.523Z [ODDS]  MIL Bucks (Dzmn): 28/25 → 5/6, MIA Heat (Pakapaka): 20/31 → 5/6, MIL Bucks (Dzmn): 5/6 → 4/5, MIA Heat (Pakapaka): 5/6 → 20/23
2026-02-26T20:53:39.523Z [EVENT]  score: 42-43
2026-02-26T20:53:39.523Z [EVENT]  score: 44-41
2026-02-26T20:53:39.523Z [ODDS]  MIL Bucks (Dzmn): 4/5 → 5/6, MIA Heat (Pakapaka): 20/23 → 5/6, MIL Bucks (Dzmn): 5/6 → 4/5, MIA Heat (Pakapaka): 5/6 → 20/23
2026-02-26T20:53:39.523Z [EVENT]  score: 42-43
2026-02-26T20:53:39.523Z [EVENT]  score: 44-41
2026-02-26T20:53:56.658Z [ODDS]  MIL Bucks (Dzmn): 4/5 → 5/6, MIA Heat (Pakapaka): 20/23 → 5/6
2026-02-26T20:53:56.658Z [EVENT]  score: 44-44
2026-02-26T20:54:05.234Z [ODDS]  MIL Bucks (Dzmn): 5/6 → 20/23, MIA Heat (Pakapaka): 5/6 → 4/5
