2026-02-27T03:17:07.724Z [ODDS]  NY Knicks (BLADE): 20/23 → 5/6, OKC Thunder (STING): 4/5 → 5/6
2026-02-27T03:17:17.196Z [ODDS]  NY Knicks (BLADE): 5/6 → 20/27, OKC Thunder (STING): 5/6 → 20/21
2026-02-27T03:17:17.196Z [EVENT]  score: 21-23
2026-02-27T03:17:27.120Z [ODDS]  NY Knicks (BLADE): 20/27 → 20/21, OKC Thunder (STING): 20/21 → 20/27
2026-02-27T03:17:30.275Z [ODDS]  NY Knicks (BLADE): 20/21 → 5/6, OKC Thunder (STING): 20/27 → 5/6
2026-02-27T03:17:46.513Z [ODDS]  NY Knicks (BLADE): 5/6 → 5/7, OKC Thunder (STING): 5/6 → 1/1
2026-02-27T03:17:46.514Z [EVENT]  score: 23-23
2026-02-27T03:17:57.839Z [ODDS]  NY Knicks (BLADE): 5/7 → 5/6, OKC Thunder (STING): 1/1 → 5/6
2026-02-27T03:17:57.839Z [EVENT]  score: 23-26
2026-02-27T03:18:11.768Z [ODDS]  NY Knicks (BLADE): 5/6 → 4/5, OKC Thunder (STING): 5/6 → 20/23
2026-02-27T03:18:23.494Z [ODDS]  NY Knicks (BLADE): 4/5 → 5/6, OKC Thunder (STING): 20/23 → 5/6
2026-02-27T03:18:46.498Z [ODDS]  NY Knicks (BLADE): 5/6 → 20/23, OKC Thunder (STING): 5/6 → 4/5
2026-02-27T03:18:46.498Z [EVENT]  score: 25-26
2026-02-27T03:18:53.263Z [ODDS]  NY Knicks (BLADE): 20/23 → 20/21, OKC Thunder (STING): 4/5 → 20/27
2026-02-27T03:19:55.958Z [ODDS]  NY Knicks (BLADE): 20/21 → 5/6, OKC Thunder (STING): 20/27 → 5/6
2026-02-27T03:19:55.958Z [EVENT]  score: 27-26
2026-02-27T03:20:08.581Z [ODDS]  NY Knicks (BLADE): 5/6 → 20/21, OKC Thunder (STING): 5/6 → 20/27
2026-02-27T03:20:16.697Z [ODDS]  NY Knicks (BLADE): 20/21 → 20/27, OKC Thunder (STING): 20/27 → 20/21
2026-02-27T03:20:18.050Z [ODDS]  NY Knicks (BLADE): 20/27 → 4/5, OKC Thunder (STING): 20/21 → 20/23
2026-02-27T03:20:18.050Z [EVENT]  score: 30-26
2026-02-27T03:20:26.175Z [ODDS]  NY Knicks (BLADE): 4/5 → 20/21, OKC Thunder (STING): 20/23 → 20/27
2026-02-27T03:20:26.175Z [EVENT]  score: 30-28
2026-02-27T03:20:37.900Z [ODDS]  NY Knicks (BLADE): 20/21 → 20/27, OKC Thunder (STING): 20/27 → 20/21
2026-02-27T03:20:37.900Z [EVENT]  score: 32-28
2026-02-27T03:20:39.248Z [ODDS]  NY Knicks (BLADE): 20/27 → 20/21, OKC Thunder (STING): 20/21 → 20/27
2026-02-27T03:20:47.366Z [ODDS]  NY Knicks (BLADE): 20/21 → 20/23, OKC Thunder (STING): 20/27 → 4/5
2026-02-27T03:20:55.484Z [ODDS]  NY Knicks (BLADE): 20/23 → 20/21, OKC Thunder (STING): 4/5 → 20/27
2026-02-27T03:21:08.589Z [ODDS]  NY Knicks (BLADE): 20/21 → 20/23, OKC Thunder (STING): 20/27 → 4/5
2026-02-27T03:21:23.924Z [EVENT]  score: 34-28
2026-02-27T03:23:19.807Z [EVENT]  score: 34-30
2026-02-27T03:23:44.640Z [EVENT]  score: 36-30
2026-02-27T03:23:53.635Z [ODDS]  NY Knicks (BLADE): 20/23 → 5/6, OKC Thunder (STING): 4/5 → 5/6
2026-02-27T03:24:01.305Z [EVENT]  score: 38-30
2026-02-27T03:24:20.698Z [ODDS]  NY Knicks (BLADE): 5/6 → 20/21, OKC Thunder (STING): 5/6 → 20/27
2026-02-27T03:24:22.498Z [EVENT]  score: 40-30
2026-02-27T03:24:26.557Z [ODDS]  NY Knicks (BLADE): 20/21 → 5/6, OKC Thunder (STING): 20/27 → 5/6
2026-02-27T03:24:51.815Z [EVENT]  score: 42-30
2026-02-27T03:25:02.192Z [EVENT]  score: 42-32
2026-02-27T03:25:09.851Z [ODDS]  NY Knicks (BLADE): 5/6 → 20/27, OKC Thunder (STING): 5/6 → 20/21
2026-02-27T03:25:37.363Z [ODDS]  NY Knicks (BLADE): 20/27 → 20/21, OKC Thunder (STING): 20/21 → 20/27
2026-02-27T03:25:42.777Z [ODDS]  NY Knicks (BLADE): 20/21 → 20/27, OKC Thunder (STING): 20/27 → 20/21
2026-02-27T03:25:42.777Z [EVENT]  score: 42-34
2026-02-27T03:26:07.582Z [ODDS]  NY Knicks (BLADE): 20/27 → 5/6, OKC Thunder (STING): 20/21 → 5/6
2026-02-27T03:26:16.151Z [ODDS]  NY Knicks (BLADE): 5/6 → 20/27, OKC Thunder (STING): 5/6 → 20/21
