2026-02-26T20:21:59.627Z [ODDS]  Selfoss: 20/23 → 5/6, Hamar: 4/5 → 5/6
2026-02-26T20:22:08.650Z [ODDS]  Selfoss: 5/6 → 20/23, Hamar: 5/6 → 4/5
2026-02-26T20:22:24.886Z [ODDS]  Selfoss: 20/23 → 5/6, Hamar: 4/5 → 5/6
2026-02-26T20:22:37.966Z [ODDS]  Selfoss: 5/6 → 20/23, Hamar: 5/6 → 4/5
2026-02-26T20:23:06.380Z [ODDS]  Selfoss: 20/23 → 5/6, Hamar: 4/5 → 5/6
2026-02-26T20:23:06.834Z [ODDS]  Selfoss: 5/6 → 4/5, Hamar: 5/6 → 20/23
2026-02-26T20:23:16.297Z [ODDS]  Selfoss: 4/5 → 20/23, Hamar: 20/23 → 4/5
2026-02-26T20:24:39.283Z [ODDS]  Selfoss: 20/23 → 4/5, Hamar: 4/5 → 20/23
2026-02-26T20:25:04.076Z [ODDS]  Selfoss: 4/5 → 20/27, Hamar: 20/23 → 20/21
2026-02-26T20:25:13.994Z [ODDS]  Selfoss: 20/27 → 20/23, Hamar: 20/21 → 4/5
2026-02-26T20:25:13.994Z [EVENT]  score: 48-51
2026-02-26T20:25:17.151Z [ODDS]  Selfoss: 20/23 → 20/27, Hamar: 4/5 → 20/21
2026-02-26T20:25:17.151Z [EVENT]  score: 48-49
2026-02-26T20:25:22.108Z [ODDS]  Selfoss: 20/27 → 20/23, Hamar: 20/21 → 4/5
2026-02-26T20:25:22.108Z [EVENT]  score: 48-51
2026-02-26T20:25:26.624Z [ODDS]  Selfoss: 20/23 → 5/6, Hamar: 4/5 → 5/6
2026-02-26T20:25:28.874Z [ODDS]  Selfoss: 5/6 → 20/23, Hamar: 5/6 → 4/5
2026-02-26T20:25:30.225Z [ODDS]  Selfoss: 20/23 → 5/6, Hamar: 4/5 → 5/6
2026-02-26T20:25:30.225Z [EVENT]  score: 48-52
2026-02-26T20:25:40.147Z [ODDS]  Selfoss: 5/6 → 20/23, Hamar: 5/6 → 4/5
2026-02-26T20:25:46.012Z [ODDS]  Selfoss: 20/23 → 5/6, Hamar: 4/5 → 5/6
2026-02-26T20:26:18.487Z [ODDS]  Selfoss: 5/6 → 20/23, Hamar: 5/6 → 4/5
2026-02-26T20:26:19.841Z [ODDS]  Selfoss: 20/23 → 5/6, Hamar: 4/5 → 5/6
2026-02-26T20:26:19.841Z [EVENT]  score: 48-53
2026-02-26T20:27:27.043Z [ODDS]  Selfoss: 5/6 → 4/5, Hamar: 5/6 → 20/23
2026-02-26T20:27:28.853Z [ODDS]  Selfoss: 4/5 → 5/6, Hamar: 20/23 → 5/6
2026-02-26T20:27:56.811Z [ODDS]  Selfoss: 5/6 → 4/5, Hamar: 5/6 → 20/23
2026-02-26T20:28:07.630Z [ODDS]  Selfoss: 4/5 → 20/23, Hamar: 20/23 → 4/5
2026-02-26T20:28:07.630Z [EVENT]  score: 51-53
2026-02-26T20:28:23.873Z [ODDS]  Selfoss: 20/23 → 20/27, Hamar: 4/5 → 20/21
2026-02-26T20:28:53.179Z [ODDS]  Selfoss: 20/27 → 20/23, Hamar: 20/21 → 4/5
2026-02-26T20:28:57.242Z [ODDS]  Selfoss: 20/23 → 4/5, Hamar: 4/5 → 20/23
2026-02-26T20:28:57.242Z [EVENT]  score: 51-55
2026-02-26T20:29:12.577Z [ODDS]  Selfoss: 4/5 → 20/23, Hamar: 20/23 → 4/5
2026-02-26T20:29:12.577Z [EVENT]  score: 53-55
2026-02-26T20:29:19.788Z [ODDS]  Selfoss: 20/23 → 20/27, Hamar: 4/5 → 20/21
2026-02-26T20:29:27.461Z [ODDS]  Selfoss: 20/27 → 1/1, Hamar: 20/21 → 5/7
2026-02-26T20:29:42.345Z [ODDS]  Selfoss: 1/1 → 20/23, Hamar: 5/7 → 4/5
2026-02-26T20:29:43.697Z [ODDS]  Selfoss: 20/23 → 20/21, Hamar: 4/5 → 20/27
2026-02-26T20:29:45.499Z [ODDS]  Selfoss: 20/21 → 20/23, Hamar: 20/27 → 4/5
2026-02-26T20:30:11.249Z [ODDS]  Selfoss: 20/23 → 20/27, Hamar: 4/5 → 20/21
2026-02-26T20:30:35.121Z [ODDS]  Selfoss: 20/27 → 5/6, Hamar: 20/21 → 5/6
2026-02-26T20:30:35.122Z [EVENT]  score: 56-55
2026-02-26T20:30:59.017Z [ODDS]  Selfoss: 5/6 → 20/27, Hamar: 5/6 → 20/21
2026-02-26T20:30:59.017Z [EVENT]  score: 56-58
2026-02-26T20:31:13.897Z [ODDS]  Selfoss: 20/27 → 5/6, Hamar: 20/21 → 5/6
2026-02-26T20:31:13.897Z [EVENT]  score: 58-58
2026-02-26T20:33:32.359Z [ODDS]  Selfoss: 5/6 → 20/23, Hamar: 5/6 → 4/5
2026-02-26T20:33:32.359Z [EVENT]  score: 58-60
2026-02-26T20:33:47.690Z [ODDS]  Selfoss: 20/23 → 20/27, Hamar: 4/5 → 20/21
2026-02-26T20:33:57.635Z [ODDS]  Selfoss: 20/27 → 20/23, Hamar: 20/21 → 4/5
2026-02-26T20:34:55.340Z [ODDS]  Selfoss: 20/23 → 20/27, Hamar: 4/5 → 20/21
2026-02-26T20:34:57.145Z [ODDS]  Selfoss: 20/27 → 20/23, Hamar: 20/21 → 4/5
2026-02-26T20:35:27.362Z [ODDS]  Selfoss: 20/23 → 20/27, Hamar: 4/5 → 20/21
2026-02-26T20:37:48.527Z [ODDS]  Selfoss: 20/27 → 20/21, Hamar: 20/21 → 20/27
2026-02-26T20:37:48.527Z [EVENT]  score: 58-62
2026-02-26T20:38:02.715Z [ODDS]  Selfoss: 20/21 → 20/27, Hamar: 20/27 → 20/21
2026-02-26T20:38:02.715Z [EVENT]  score: 60-62
2026-02-26T20:38:16.632Z [ODDS]  Selfoss: 20/27 → 20/21, Hamar: 20/21 → 20/27
2026-02-26T20:38:16.632Z [EVENT]  score: 60-64
2026-02-26T20:38:39.643Z [ODDS]  Selfoss: 20/21 → 4/5, Hamar: 20/27 → 20/23
2026-02-26T20:39:31.509Z [ODDS]  Selfoss: 4/5 → 20/21, Hamar: 20/23 → 20/27
2026-02-26T20:39:32.853Z [ODDS]  Selfoss: 20/21 → 20/27, Hamar: 20/27 → 20/21
2026-02-26T20:39:32.853Z [EVENT]  score: 62-64
2026-02-26T20:39:42.326Z [ODDS]  Selfoss: 20/27 → 20/23, Hamar: 20/21 → 4/5
2026-02-26T20:40:26.977Z [ODDS]  Selfoss: 20/23 → 20/27, Hamar: 4/5 → 20/21
2026-02-26T20:40:33.290Z [ODDS]  Selfoss: 20/27 → 20/21, Hamar: 20/21 → 20/27
2026-02-26T20:40:33.290Z [EVENT]  score: 62-66
2026-02-26T20:41:03.958Z [ODDS]  Selfoss: 20/21 → 5/6, Hamar: 20/27 → 5/6
2026-02-26T20:41:22.901Z [ODDS]  Selfoss: 5/6 → 5/7, Hamar: 5/6 → 1/1
2026-02-26T20:41:51.763Z [ODDS]  Selfoss: 5/7 → 5/6, Hamar: 1/1 → 5/6
2026-02-26T20:42:06.197Z [ODDS]  Selfoss: 5/6 → 5/7, Hamar: 5/6 → 1/1
2026-02-26T20:43:23.318Z [ODDS]  Selfoss: 5/7 → 4/5, Hamar: 1/1 → 20/23
2026-02-26T20:43:23.319Z [EVENT]  score: 64-66
2026-02-26T20:43:31.437Z [ODDS]  Selfoss: 4/5 → 5/6, Hamar: 20/23 → 5/6
2026-02-26T20:43:38.201Z [ODDS]  Selfoss: 5/6 → 20/27, Hamar: 5/6 → 20/21
