2026-02-27T01:01:55.565Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T01:01:58.282Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:02:32.548Z [EVENT]  score: 23-21
2026-02-27T01:02:41.567Z [EVENT]  score: 23-22
2026-02-27T01:03:00.960Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:03:00.960Z [EVENT]  score: 26-22
2026-02-27T01:03:18.552Z [ODDS]  Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:03:53.730Z [EVENT]  score: 27-22
2026-02-27T01:04:01.850Z [EVENT]  score: 28-22
2026-02-27T01:04:13.575Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23, Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:04:13.575Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23, Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:04:32.066Z [EVENT]  score: 28-23
2026-02-27T01:04:41.538Z [EVENT]  score: 28-24
2026-02-27T01:04:53.262Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:06:59.099Z [ODDS]  Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:07:05.412Z [EVENT]  score: 28-27
2026-02-27T01:07:22.549Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T01:07:38.335Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:08:05.846Z [EVENT]  score: 30-27
2026-02-27T01:08:31.872Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:08:31.872Z [EVENT]  score: 31-27
2026-02-27T01:08:48.545Z [ODDS]  Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:08:56.212Z [EVENT]  score: 34-27
2026-02-27T01:09:27.785Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T01:09:36.808Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:09:41.766Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23, Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:09:41.766Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23, Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:09:42.669Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:09:55.297Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T01:10:21.015Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:10:24.611Z [EVENT]  score: 34-30
2026-02-27T01:10:36.791Z [EVENT]  score: 36-30
2026-02-27T01:10:51.221Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T01:10:51.673Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:11:13.771Z [EVENT]  score: 37-30
2026-02-27T01:11:28.203Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:11:28.203Z [EVENT]  score: 38-30
2026-02-27T01:13:33.133Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T01:13:40.802Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:13:40.802Z [EVENT]  score: 38-32
2026-02-27T01:13:59.294Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:14:02.901Z [ODDS]  Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:14:08.764Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T01:14:25.902Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:14:25.902Z [EVENT]  score: 38-34
2026-02-27T01:14:44.844Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T01:15:04.238Z [ODDS]  Rocamora (W): 20/23 → 4/5, Union Florida (W): 4/5 → 20/23, Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:15:04.238Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23, Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:15:24.984Z [EVENT]  score: 38-35
2026-02-27T01:15:36.257Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:15:36.257Z [EVENT]  score: 38-36
2026-02-27T01:15:54.749Z [EVENT]  score: 41-36
2026-02-27T01:16:27.673Z [ODDS]  Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:16:56.989Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:16:56.989Z [EVENT]  score: 41-37
2026-02-27T01:17:06.010Z [ODDS]  Rocamora (W): 4/5 → 5/6, Union Florida (W): 20/23 → 5/6
2026-02-27T01:17:09.165Z [ODDS]  Rocamora (W): 5/6 → 4/5, Union Florida (W): 5/6 → 20/23
2026-02-27T01:17:09.615Z [ODDS]  Rocamora (W): 4/5 → 20/23, Union Florida (W): 20/23 → 4/5
2026-02-27T01:17:09.615Z [EVENT]  score: 41-39
2026-02-27T01:17:30.814Z [ODDS]  Rocamora (W): 20/23 → 5/6, Union Florida (W): 4/5 → 5/6
2026-02-27T01:17:38.931Z [ODDS]  Rocamora (W): 5/6 → 20/23, Union Florida (W): 5/6 → 4/5
2026-02-27T01:17:38.931Z [EVENT]  score: 42-39
2026-02-27T01:17:48.855Z [ODDS]  Rocamora (W): 20/23 → 4/5, Union Florida (W): 4/5 → 20/23
2026-02-27T01:17:48.855Z [EVENT]  score: 43-39
