2026-02-27T01:17:09.615Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:17:33.520Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:17:40.286Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:17:40.286Z [EVENT]  score: 17-23
2026-02-27T01:17:58.323Z [EVENT]  score: 18-23
2026-02-27T01:18:06.442Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:18:06.442Z [EVENT]  score: 19-23
2026-02-27T01:18:11.403Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 20/23, BOS Celtics (LEGACY): 20/23 → 4/5
2026-02-27T01:18:13.207Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:18:13.207Z [EVENT]  score: 19-25
2026-02-27T01:18:22.228Z [EVENT]  score: 22-25
2026-02-27T01:18:27.639Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/21, BOS Celtics (LEGACY): 5/6 → 20/27
2026-02-27T01:18:41.169Z [ODDS]  LA Lakers (PHARAOH): 20/21 → 4/5, BOS Celtics (LEGACY): 20/27 → 20/23
2026-02-27T01:18:41.169Z [EVENT]  score: 25-25
2026-02-27T01:18:53.346Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:19:14.994Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:19:14.994Z [EVENT]  score: 27-25
2026-02-27T01:19:31.230Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 4/5, BOS Celtics (LEGACY): 4/5 → 20/23
2026-02-27T01:19:38.897Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:19:38.897Z [EVENT]  score: 29-25
2026-02-27T01:19:59.643Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:20:00.545Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 20/27, BOS Celtics (LEGACY): 4/5 → 20/21
2026-02-27T01:20:00.546Z [EVENT]  score: 29-28
2026-02-27T01:21:00.980Z [ODDS]  LA Lakers (PHARAOH): 20/27 → 20/21, BOS Celtics (LEGACY): 20/21 → 20/27
2026-02-27T01:21:09.549Z [ODDS]  LA Lakers (PHARAOH): 20/21 → 20/23, BOS Celtics (LEGACY): 20/27 → 4/5
2026-02-27T01:21:21.274Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:21:21.274Z [EVENT]  score: 31-28
2026-02-27T01:21:21.732Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:21:24.882Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:21:39.765Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:21:44.728Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 20/21, BOS Celtics (LEGACY): 4/5 → 20/27
2026-02-27T01:22:00.964Z [ODDS]  LA Lakers (PHARAOH): 20/21 → 20/27, BOS Celtics (LEGACY): 20/27 → 20/21
2026-02-27T01:22:01.414Z [ODDS]  LA Lakers (PHARAOH): 20/27 → 20/21, BOS Celtics (LEGACY): 20/21 → 20/27
2026-02-27T01:22:06.825Z [ODDS]  LA Lakers (PHARAOH): 20/21 → 20/27, BOS Celtics (LEGACY): 20/27 → 20/21
2026-02-27T01:22:39.749Z [ODDS]  LA Lakers (PHARAOH): 20/27 → 4/5, BOS Celtics (LEGACY): 20/21 → 20/23
2026-02-27T01:23:05.007Z [EVENT]  score: 31-31
2026-02-27T01:23:17.185Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:23:28.006Z [EVENT]  score: 33-31
2026-02-27T01:23:28.006Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:23:28.907Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:23:40.190Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:24:18.969Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:24:19.420Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:24:27.989Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 5/6, BOS Celtics (LEGACY): 20/23 → 5/6
2026-02-27T01:24:27.989Z [EVENT]  score: 33-33
2026-02-27T01:24:37.911Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 4/5, BOS Celtics (LEGACY): 5/6 → 20/23
2026-02-27T01:24:37.911Z [EVENT]  score: 35-33
2026-02-27T01:24:50.541Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 20/27, BOS Celtics (LEGACY): 20/23 → 20/21
2026-02-27T01:24:50.541Z [EVENT]  score: 37-33
2026-02-27T01:24:50.991Z [ODDS]  LA Lakers (PHARAOH): 20/27 → 20/21, BOS Celtics (LEGACY): 20/21 → 20/27
2026-02-27T01:24:53.698Z [ODDS]  LA Lakers (PHARAOH): 20/21 → 20/27, BOS Celtics (LEGACY): 20/27 → 20/21
2026-02-27T01:24:57.757Z [ODDS]  LA Lakers (PHARAOH): 20/27 → 20/23, BOS Celtics (LEGACY): 20/21 → 4/5
2026-02-27T01:25:41.053Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:25:54.583Z [EVENT]  score: 37-36
2026-02-27T01:26:03.606Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:26:27.506Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/7, BOS Celtics (LEGACY): 4/5 → 1/1
2026-02-27T01:26:27.506Z [EVENT]  score: 37-38
2026-02-27T01:26:37.881Z [ODDS]  LA Lakers (PHARAOH): 5/7 → 20/23, BOS Celtics (LEGACY): 1/1 → 4/5
2026-02-27T01:26:37.881Z [EVENT]  score: 39-38
2026-02-27T01:26:59.528Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/7, BOS Celtics (LEGACY): 4/5 → 1/1
2026-02-27T01:26:59.528Z [EVENT]  score: 39-40
2026-02-27T01:27:41.021Z [ODDS]  LA Lakers (PHARAOH): 5/7 → 20/23, BOS Celtics (LEGACY): 1/1 → 4/5
2026-02-27T01:27:41.021Z [EVENT]  score: 41-40
2026-02-27T01:27:50.495Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 4/5, BOS Celtics (LEGACY): 4/5 → 20/23
2026-02-27T01:27:52.751Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 28/25, BOS Celtics (LEGACY): 20/23 → 20/31
2026-02-27T01:27:52.751Z [EVENT]  score: 41-42
2026-02-27T01:28:13.045Z [ODDS]  LA Lakers (PHARAOH): 28/25 → 20/31, BOS Celtics (LEGACY): 20/31 → 28/25
2026-02-27T01:28:27.477Z [ODDS]  LA Lakers (PHARAOH): 20/31 → 4/6, BOS Celtics (LEGACY): 28/25 → 11/10
2026-02-27T01:28:28.381Z [ODDS]  LA Lakers (PHARAOH): 4/6 → 28/25, BOS Celtics (LEGACY): 11/10 → 20/31
2026-02-27T01:28:36.949Z [ODDS]  LA Lakers (PHARAOH): 28/25 → 5/6, BOS Celtics (LEGACY): 20/31 → 5/6
2026-02-27T01:28:36.949Z [EVENT]  score: 41-43
2026-02-27T01:28:41.458Z [EVENT]  score: 41-44
2026-02-27T01:28:52.285Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 11/10, BOS Celtics (LEGACY): 5/6 → 4/6, LA Lakers (PHARAOH): 11/10 → 4/6, BOS Celtics (LEGACY): 4/6 → 11/10
2026-02-27T01:28:52.285Z [EVENT]  score: 43-44
2026-02-27T01:28:52.285Z [ODDS]  LA Lakers (PHARAOH): 4/6 → 11/10, BOS Celtics (LEGACY): 11/10 → 4/6, LA Lakers (PHARAOH): 11/10 → 4/6, BOS Celtics (LEGACY): 4/6 → 11/10
2026-02-27T01:28:56.793Z [ODDS]  LA Lakers (PHARAOH): 4/6 → 11/10, BOS Celtics (LEGACY): 11/10 → 4/6
2026-02-27T01:29:09.422Z [ODDS]  LA Lakers (PHARAOH): 11/10 → 20/29, BOS Celtics (LEGACY): 4/6 → 21/20
2026-02-27T01:29:15.735Z [ODDS]  LA Lakers (PHARAOH): 20/29 → 20/21, BOS Celtics (LEGACY): 21/20 → 20/27
2026-02-27T01:29:15.735Z [EVENT]  score: 45-44
2026-02-27T01:29:27.010Z [ODDS]  LA Lakers (PHARAOH): 20/21 → 20/23, BOS Celtics (LEGACY): 20/27 → 4/5
2026-02-27T01:29:50.011Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:29:54.071Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:30:12.110Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:30:35.112Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/23, BOS Celtics (LEGACY): 5/6 → 4/5
2026-02-27T01:30:43.230Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 5/6, BOS Celtics (LEGACY): 4/5 → 5/6
2026-02-27T01:30:44.584Z [ODDS]  LA Lakers (PHARAOH): 5/6 → 20/29, BOS Celtics (LEGACY): 5/6 → 21/20
2026-02-27T01:30:44.584Z [EVENT]  score: 45-46
2026-02-27T01:30:46.838Z [ODDS]  LA Lakers (PHARAOH): 20/29 → 20/23, BOS Celtics (LEGACY): 21/20 → 4/5
2026-02-27T01:30:47.291Z [ODDS]  LA Lakers (PHARAOH): 20/23 → 1/1, BOS Celtics (LEGACY): 4/5 → 5/7
2026-02-27T01:31:09.389Z [ODDS]  LA Lakers (PHARAOH): 1/1 → 4/5, BOS Celtics (LEGACY): 5/7 → 20/23, LA Lakers (PHARAOH): 4/5 → 20/27, BOS Celtics (LEGACY): 20/23 → 20/21
2026-02-27T01:31:09.389Z [EVENT]  score: 48-46
2026-02-27T01:31:09.389Z [ODDS]  LA Lakers (PHARAOH): 20/27 → 4/5, BOS Celtics (LEGACY): 20/21 → 20/23, LA Lakers (PHARAOH): 4/5 → 20/27, BOS Celtics (LEGACY): 20/23 → 20/21
2026-02-27T01:31:40.056Z [ODDS]  LA Lakers (PHARAOH): 20/27 → 4/5, BOS Celtics (LEGACY): 20/21 → 20/23
2026-02-27T01:31:40.056Z [EVENT]  score: 48-48
2026-02-27T01:32:02.156Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 20/27, BOS Celtics (LEGACY): 20/23 → 20/21
2026-02-27T01:32:02.156Z [EVENT]  score: 50-48
2026-02-27T01:32:14.783Z [ODDS]  LA Lakers (PHARAOH): 20/27 → 5/7, BOS Celtics (LEGACY): 20/21 → 1/1
2026-02-27T01:32:17.038Z [ODDS]  LA Lakers (PHARAOH): 5/7 → 1/1, BOS Celtics (LEGACY): 1/1 → 5/7
2026-02-27T01:32:31.470Z [ODDS]  LA Lakers (PHARAOH): 1/1 → 20/29, BOS Celtics (LEGACY): 5/7 → 21/20
2026-02-27T01:32:45.000Z [ODDS]  LA Lakers (PHARAOH): 20/29 → 20/21, BOS Celtics (LEGACY): 21/20 → 20/27
2026-02-27T01:32:57.630Z [ODDS]  LA Lakers (PHARAOH): 20/21 → 6/5, BOS Celtics (LEGACY): 20/27 → 20/33, LA Lakers (PHARAOH): 6/5 → 4/5, BOS Celtics (LEGACY): 20/33 → 20/23
2026-02-27T01:32:57.630Z [EVENT]  score: 50-51
2026-02-27T01:32:57.630Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 6/5, BOS Celtics (LEGACY): 20/23 → 20/33, LA Lakers (PHARAOH): 6/5 → 4/5, BOS Celtics (LEGACY): 20/33 → 20/23
2026-02-27T01:33:00.334Z [ODDS]  LA Lakers (PHARAOH): 4/5 → 6/5, BOS Celtics (LEGACY): 20/23 → 20/33
2026-02-27T01:33:08.009Z [ODDS]  LA Lakers (PHARAOH): 6/5 → 5/7, BOS Celtics (LEGACY): 20/33 → 1/1
2026-02-27T01:33:08.009Z [EVENT]  score: 52-51
2026-02-27T01:33:19.728Z [ODDS]  LA Lakers (PHARAOH): 5/7 → 20/29, BOS Celtics (LEGACY): 1/1 → 21/20
2026-02-27T01:33:22.440Z [ODDS]  LA Lakers (PHARAOH): 20/29 → 6/5, BOS Celtics (LEGACY): 21/20 → 20/33
2026-02-27T01:33:22.440Z [EVENT]  score: 52-53
2026-02-27T01:33:29.650Z [ODDS]  LA Lakers (PHARAOH): 6/5 → 20/29, BOS Celtics (LEGACY): 20/33 → 21/20
2026-02-27T01:33:29.650Z [EVENT]  score: 54-53
2026-02-27T01:33:41.826Z [ODDS]  LA Lakers (PHARAOH): 20/29 → 4/6, BOS Celtics (LEGACY): 21/20 → 11/10
2026-02-27T01:33:49.944Z [ODDS]  LA Lakers (PHARAOH): 4/6 → 20/31, BOS Celtics (LEGACY): 11/10 → 28/25
2026-02-27T01:33:55.356Z [ODDS]  LA Lakers (PHARAOH): 20/31 → 61/50, BOS Celtics (LEGACY): 28/25 → 10/17
2026-02-27T01:33:55.356Z [EVENT]  score: 54-55
2026-02-27T01:34:03.023Z [ODDS]  LA Lakers (PHARAOH): 61/50 → 0/0, BOS Celtics (LEGACY): 10/17 → 0/0
