2026-02-26T21:17:52.086Z [ODDS]  LA Lakers (TAAPZ): 20/27 → 20/21, OKC Thunder (SPARKZ): 20/21 → 20/27
2026-02-26T21:17:53.453Z [ODDS]  LA Lakers (TAAPZ): 20/21 → 20/27, OKC Thunder (SPARKZ): 20/27 → 20/21
2026-02-26T21:18:07.409Z [ODDS]  LA Lakers (TAAPZ): 20/27 → 4/5, OKC Thunder (SPARKZ): 20/21 → 20/23
2026-02-26T21:18:42.137Z [EVENT]  score: 24-31
2026-02-26T21:18:53.881Z [ODDS]  LA Lakers (TAAPZ): 4/5 → 5/6, OKC Thunder (SPARKZ): 20/23 → 5/6
2026-02-26T21:18:59.725Z [EVENT]  score: 26-31
2026-02-26T21:19:01.981Z [ODDS]  LA Lakers (TAAPZ): 5/6 → 4/5, OKC Thunder (SPARKZ): 5/6 → 20/23
2026-02-26T21:19:02.435Z [ODDS]  LA Lakers (TAAPZ): 4/5 → 20/27, OKC Thunder (SPARKZ): 20/23 → 20/21
2026-02-26T21:19:12.358Z [ODDS]  LA Lakers (TAAPZ): 20/27 → 5/6, OKC Thunder (SPARKZ): 20/21 → 5/6
2026-02-26T21:19:18.219Z [EVENT]  score: 26-34
2026-02-26T21:20:23.614Z [EVENT]  score: 26-35
2026-02-26T21:20:27.675Z [EVENT]  score: 26-36
2026-02-26T21:20:38.115Z [EVENT]  score: 28-36
2026-02-26T21:20:50.243Z [EVENT]  score: 28-38
2026-02-26T21:21:08.721Z [ODDS]  LA Lakers (TAAPZ): 5/6 → 20/23, OKC Thunder (SPARKZ): 5/6 → 4/5
2026-02-26T21:21:08.721Z [EVENT]  score: 31-38
2026-02-26T21:21:33.519Z [EVENT]  score: 33-38
2026-02-26T21:21:59.680Z [ODDS]  LA Lakers (TAAPZ): 20/23 → 20/21, OKC Thunder (SPARKZ): 4/5 → 20/27
2026-02-26T21:21:59.680Z [EVENT]  score: 33-41
2026-02-26T21:22:18.621Z [EVENT]  score: 33-43
2026-02-26T21:22:29.445Z [ODDS]  LA Lakers (TAAPZ): 20/21 → 20/27, OKC Thunder (SPARKZ): 20/27 → 20/21
2026-02-26T21:22:29.897Z [ODDS]  LA Lakers (TAAPZ): 20/27 → 20/21, OKC Thunder (SPARKZ): 20/21 → 20/27
2026-02-26T21:22:30.797Z [ODDS]  LA Lakers (TAAPZ): 20/21 → 20/27, OKC Thunder (SPARKZ): 20/27 → 20/21
2026-02-26T21:22:34.405Z [EVENT]  score: 34-43
2026-02-26T21:22:50.641Z [ODDS]  LA Lakers (TAAPZ): 20/27 → 5/6, OKC Thunder (SPARKZ): 20/21 → 5/6
