2026-02-26T23:17:47.703Z [ODDS]  DAL Mavericks (LEGACY): 20/27 → 20/21, CHA Hornets (BLIZZARD): 20/21 → 20/27
2026-02-26T23:17:54.023Z [ODDS]  DAL Mavericks (LEGACY): 20/21 → 20/23, CHA Hornets (BLIZZARD): 20/27 → 4/5
2026-02-26T23:17:54.023Z [EVENT]  score: 34-29
2026-02-26T23:18:24.234Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 20/21, CHA Hornets (BLIZZARD): 4/5 → 20/27
2026-02-26T23:18:24.234Z [EVENT]  score: 34-31
2026-02-26T23:18:34.606Z [ODDS]  DAL Mavericks (LEGACY): 20/21 → 20/23, CHA Hornets (BLIZZARD): 20/27 → 4/5
2026-02-26T23:18:34.606Z [EVENT]  score: 36-31
2026-02-26T23:18:53.551Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 20/21, CHA Hornets (BLIZZARD): 4/5 → 20/27
2026-02-26T23:18:53.551Z [EVENT]  score: 36-34
2026-02-26T23:18:57.610Z [ODDS]  DAL Mavericks (LEGACY): 20/21 → 5/6, CHA Hornets (BLIZZARD): 20/27 → 5/6
2026-02-26T23:19:51.728Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 20/29, CHA Hornets (BLIZZARD): 5/6 → 21/20
2026-02-26T23:19:51.728Z [EVENT]  score: 36-36
2026-02-26T23:19:57.590Z [ODDS]  DAL Mavericks (LEGACY): 20/29 → 5/7, CHA Hornets (BLIZZARD): 21/20 → 1/1
2026-02-26T23:20:09.317Z [ODDS]  DAL Mavericks (LEGACY): 5/7 → 20/31, CHA Hornets (BLIZZARD): 1/1 → 28/25
2026-02-26T23:20:14.282Z [ODDS]  DAL Mavericks (LEGACY): 20/31 → 4/5, CHA Hornets (BLIZZARD): 28/25 → 20/23
2026-02-26T23:20:14.282Z [EVENT]  score: 36-38
2026-02-26T23:20:24.711Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 5/6, CHA Hornets (BLIZZARD): 20/23 → 5/6
2026-02-26T23:20:28.711Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 4/5, CHA Hornets (BLIZZARD): 5/6 → 20/23
2026-02-26T23:20:28.711Z [EVENT]  score: 39-38
2026-02-26T23:20:42.240Z [ODDS]  DAL Mavericks (LEGACY): 4/5 → 28/25, CHA Hornets (BLIZZARD): 20/23 → 20/31
2026-02-26T23:20:42.241Z [EVENT]  score: 39-40
2026-02-26T23:20:56.673Z [ODDS]  DAL Mavericks (LEGACY): 28/25 → 20/27, CHA Hornets (BLIZZARD): 20/31 → 20/21
2026-02-26T23:20:56.674Z [EVENT]  score: 41-40
2026-02-26T23:21:18.772Z [ODDS]  DAL Mavericks (LEGACY): 20/27 → 5/7, CHA Hornets (BLIZZARD): 20/21 → 1/1
2026-02-26T23:22:56.190Z [ODDS]  DAL Mavericks (LEGACY): 5/7 → 20/21, CHA Hornets (BLIZZARD): 1/1 → 20/27
2026-02-26T23:22:56.190Z [EVENT]  score: 42-40
2026-02-26T23:23:17.387Z [ODDS]  DAL Mavericks (LEGACY): 20/21 → 5/6, CHA Hornets (BLIZZARD): 20/27 → 5/6
2026-02-26T23:23:17.387Z [EVENT]  score: 44-40
2026-02-26T23:24:21.882Z [ODDS]  DAL Mavericks (LEGACY): 5/6 → 20/23, CHA Hornets (BLIZZARD): 5/6 → 4/5
2026-02-26T23:24:49.845Z [ODDS]  DAL Mavericks (LEGACY): 20/23 → 1/1, CHA Hornets (BLIZZARD): 4/5 → 5/7
2026-02-26T23:25:02.926Z [ODDS]  DAL Mavericks (LEGACY): 1/1 → 20/21, CHA Hornets (BLIZZARD): 5/7 → 20/27
2026-02-26T23:25:02.926Z [EVENT]  score: 45-40
2026-02-26T23:25:08.792Z [EVENT]  score: 46-40
2026-02-26T23:25:19.613Z [ODDS]  DAL Mavericks (LEGACY): 20/21 → 1/1, CHA Hornets (BLIZZARD): 20/27 → 5/7, DAL Mavericks (LEGACY): 1/1 → 5/7, CHA Hornets (BLIZZARD): 5/7 → 1/1
2026-02-26T23:25:19.613Z [EVENT]  score: 46-42
