2026-02-26T21:29:05.911Z [ODDS]  CSCD Kassantina: 20/27 → 4/5, CRB Dar Beida: 20/21 → 20/23
2026-02-26T21:29:39.273Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T21:29:39.273Z [EVENT]  score: 31-26
2026-02-26T21:30:27.089Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5, CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T21:30:27.090Z [ODDS]  CSCD Kassantina: 4/5 → 20/23, CRB Dar Beida: 20/23 → 4/5, CSCD Kassantina: 20/23 → 4/5, CRB Dar Beida: 4/5 → 20/23
2026-02-26T21:31:22.557Z [EVENT]  score: 31-27
2026-02-26T21:31:39.254Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T21:31:49.214Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T21:31:57.766Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T21:32:04.054Z [EVENT]  score: 33-27
2026-02-26T21:32:21.220Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T21:32:27.966Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T21:32:27.966Z [EVENT]  score: 35-27
2026-02-26T21:34:09.435Z [ODDS]  CSCD Kassantina: 5/6 → 4/5, CRB Dar Beida: 5/6 → 20/23
2026-02-26T21:34:09.435Z [EVENT]  score: 35-29
2026-02-26T21:34:18.453Z [ODDS]  CSCD Kassantina: 4/5 → 5/6, CRB Dar Beida: 20/23 → 5/6
2026-02-26T21:34:31.529Z [EVENT]  score: 37-29
2026-02-26T21:34:53.629Z [EVENT]  score: 37-31
2026-02-26T21:35:13.019Z [ODDS]  CSCD Kassantina: 5/6 → 20/23, CRB Dar Beida: 5/6 → 4/5
