2026-02-27T03:07:12.196Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T03:07:22.572Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T03:08:07.218Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
2026-02-27T03:08:25.711Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T03:08:25.711Z [EVENT]  score: 30-52
2026-02-27T03:08:41.613Z [ODDS]  St. Thomas (MN): 5/6 → 20/23, North Dakota State: 10/11 → 20/23
2026-02-27T03:08:41.613Z [EVENT]  score: 31-52
2026-02-27T03:09:40.220Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T03:09:40.220Z [EVENT]  score: 31-54
2026-02-27T03:10:09.186Z [ODDS]  St. Thomas (MN): 5/6 → 20/23, North Dakota State: 10/11 → 20/23
2026-02-27T03:10:57.449Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T03:11:11.875Z [ODDS]  St. Thomas (MN): 5/6 → 20/23, North Dakota State: 10/11 → 20/23
2026-02-27T03:11:31.270Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T03:11:31.270Z [EVENT]  score: 32-54
2026-02-27T03:11:49.761Z [ODDS]  St. Thomas (MN): 10/11 → 5/6, North Dakota State: 5/6 → 10/11
2026-02-27T03:11:49.761Z [EVENT]  score: 33-54
2026-02-27T03:12:23.136Z [EVENT]  score: 33-56
2026-02-27T03:12:40.271Z [ODDS]  St. Thomas (MN): 5/6 → 20/23, North Dakota State: 10/11 → 20/23
2026-02-27T03:15:28.498Z [ODDS]  St. Thomas (MN): 20/23 → 10/11, North Dakota State: 20/23 → 5/6
2026-02-27T03:15:43.832Z [ODDS]  St. Thomas (MN): 10/11 → 5/6, North Dakota State: 5/6 → 10/11
2026-02-27T03:16:22.169Z [ODDS]  St. Thomas (MN): 5/6 → 20/23, North Dakota State: 10/11 → 20/23
2026-02-27T03:16:39.311Z [EVENT]  score: 33-57
2026-02-27T03:16:54.645Z [ODDS]  St. Thomas (MN): 20/23 → 5/6, North Dakota State: 20/23 → 10/11
2026-02-27T03:16:54.645Z [EVENT]  score: 33-58
2026-02-27T03:18:16.730Z [EVENT]  score: 33-61
2026-02-27T03:18:41.082Z [EVENT]  score: 35-61
2026-02-27T03:21:53.744Z [ODDS]  St. Thomas (MN): 5/6 → 10/11, North Dakota State: 10/11 → 5/6
2026-02-27T03:21:56.374Z [EVENT]  score: 35-63
2026-02-27T03:22:35.159Z [ODDS]  St. Thomas (MN): 10/11 → 20/23, North Dakota State: 5/6 → 20/23
