2026-02-27T01:11:21.439Z [ODDS]  Draw: 25/1 → 22/1, Millonarios: 1/100 → 1/80
2026-02-27T01:11:36.776Z [ODDS]  Deportivo Pereira: 66/1 → 80/1, Draw: 22/1 → 25/1, Millonarios: 1/80 → 1/100
2026-02-27T01:11:43.089Z [ODDS]  Deportivo Pereira: 80/1 → 66/1, Draw: 25/1 → 22/1, Millonarios: 1/100 → 1/80
2026-02-27T01:11:54.815Z [ODDS]  Deportivo Pereira: 66/1 → 80/1, Draw: 22/1 → 25/1, Millonarios: 1/80 → 1/100
2026-02-27T01:12:29.541Z [EVENT]  score: 3-0
2026-02-27T01:14:19.588Z [EVENT]  score: 4-0
2026-02-27T01:38:24.841Z [ODDS]  Draw: 11/4 → 5/2
2026-02-27T01:39:03.630Z [ODDS]  Millonarios: 4/7 → 8/13
2026-02-27T01:39:53.694Z [ODDS]  Deportivo Pereira: 4/1 → 9/2, Draw: 5/2 → 12/5
2026-02-27T01:40:15.342Z [ODDS]  Deportivo Pereira: 9/2 → 4/1, Millonarios: 8/13 → 4/6
2026-02-27T01:41:42.392Z [ODDS]  Draw: 12/5 → 9/4
2026-02-27T01:41:47.354Z [ODDS]  Deportivo Pereira: 4/1 → 9/2
2026-02-27T01:42:24.787Z [ODDS]  Draw: 9/4 → 2/1
2026-02-27T01:42:42.826Z [ODDS]  Millonarios: 4/6 → 8/11
2026-02-27T01:42:50.517Z [ODDS]  Draw: 2/1 → 9/4
2026-02-27T01:43:07.187Z [ODDS]  Draw: 9/4 → 2/1
2026-02-27T01:43:19.808Z [ODDS]  Draw: 2/1 → 9/4, Millonarios: 8/11 → 4/6
2026-02-27T01:43:31.083Z [ODDS]  Draw: 9/4 → 2/1, Millonarios: 4/6 → 8/11
2026-02-27T01:43:40.554Z [ODDS]  Deportivo Pereira: 9/2 → 4/1
2026-02-27T01:43:50.482Z [ODDS]  Deportivo Pereira: 4/1 → 9/2
2026-02-27T01:44:11.677Z [ODDS]  Draw: 2/1 → 7/4
2026-02-27T01:45:02.686Z [EVENT]  score: 5-0
2026-02-27T01:56:22.021Z [EVENT]  score: 5-1
2026-02-27T02:08:25.792Z [ODDS]  Deportivo Pereira: 11/2 → 10/1, Draw: 8/15 → 4/9, Millonarios: 9/4 → 21/10
2026-02-27T02:08:34.361Z [ODDS]  Deportivo Pereira: 10/1 → 9/1, Draw: 4/9 → 1/2, Millonarios: 21/10 → 2/1
2026-02-27T02:08:38.872Z [ODDS]  Millonarios: 2/1 → 21/10
2026-02-27T02:08:43.382Z [ODDS]  Draw: 1/2 → 4/9
2026-02-27T02:08:52.856Z [ODDS]  Deportivo Pereira: 9/1 → 17/2
2026-02-27T02:08:56.011Z [ODDS]  Deportivo Pereira: 17/2 → 9/1
2026-02-27T02:09:09.990Z [ODDS]  Millonarios: 21/10 → 11/5
2026-02-27T02:09:19.461Z [ODDS]  Deportivo Pereira: 9/1 → 17/2
2026-02-27T02:09:35.697Z [ODDS]  Millonarios: 11/5 → 9/4
2026-02-27T02:09:57.345Z [ODDS]  Draw: 4/9 → 2/5, Millonarios: 9/4 → 12/5
2026-02-27T02:10:07.718Z [ODDS]  Deportivo Pereira: 17/2 → 9/1
2026-02-27T02:10:09.525Z [ODDS]  Deportivo Pereira: 9/1 → 17/2, Draw: 2/5 → 4/9
2026-02-27T02:10:13.131Z [ODDS]  Deportivo Pereira: 17/2 → 8/1
2026-02-27T02:10:15.386Z [ODDS]  Draw: 4/9 → 2/5
2026-02-27T02:10:32.075Z [ODDS]  Deportivo Pereira: 8/1 → 17/2, Draw: 2/5 → 4/9, Millonarios: 12/5 → 9/4
2026-02-27T02:10:36.135Z [ODDS]  Millonarios: 9/4 → 12/5
2026-02-27T02:10:55.075Z [ODDS]  Draw: 4/9 → 2/5
2026-02-27T02:11:09.968Z [ODDS]  Deportivo Pereira: 17/2 → 9/1, Millonarios: 12/5 → 5/2
2026-02-27T02:11:29.803Z [ODDS]  Draw: 2/5 → 4/11, Millonarios: 5/2 → 13/5
2026-02-27T02:11:43.788Z [ODDS]  Deportivo Pereira: 9/1 → 10/1, Millonarios: 13/5 → 11/4
2026-02-27T02:11:46.490Z [ODDS]  Draw: 4/11 → 1/3
2026-02-27T02:12:09.943Z [ODDS]  Millonarios: 11/4 → 3/1
2026-02-27T02:12:18.060Z [ODDS]  Draw: 1/3 → 3/10
2026-02-27T02:12:25.276Z [ODDS]  Deportivo Pereira: 10/1 → 12/1
2026-02-27T02:12:29.336Z [ODDS]  Deportivo Pereira: 12/1 → 9/1, Draw: 3/10 → 1/3
2026-02-27T02:12:35.650Z [ODDS]  Deportivo Pereira: 9/1 → 10/1
2026-02-27T02:12:48.728Z [ODDS]  Deportivo Pereira: 10/1 → 12/1, Draw: 1/3 → 2/7
2026-02-27T02:12:50.082Z [ODDS]  Deportivo Pereira: 12/1 → 9/1, Draw: 2/7 → 3/10
2026-02-27T02:12:51.886Z [ODDS]  Deportivo Pereira: 9/1 → 10/1
2026-02-27T02:12:56.846Z [ODDS]  Deportivo Pereira: 10/1 → 12/1, Draw: 3/10 → 2/7
2026-02-27T02:13:09.474Z [ODDS]  Deportivo Pereira: 12/1 → 10/1, Millonarios: 3/1 → 10/3
2026-02-27T02:13:10.376Z [ODDS]  Deportivo Pereira: 10/1 → 11/1, Draw: 2/7 → 1/3, Millonarios: 10/3 → 11/4
2026-02-27T02:13:23.004Z [ODDS]  Deportivo Pereira: 11/1 → 8/1, Millonarios: 11/4 → 10/3
2026-02-27T02:13:33.828Z [ODDS]  Deportivo Pereira: 8/1 → 9/1, Draw: 1/3 → 2/7, Millonarios: 10/3 → 7/2
2026-02-27T02:13:39.691Z [ODDS]  Deportivo Pereira: 9/1 → 11/1, Millonarios: 7/2 → 10/3
2026-02-27T02:13:42.847Z [ODDS]  Millonarios: 10/3 → 7/2
2026-02-27T02:13:49.613Z [ODDS]  Millonarios: 7/2 → 10/3
2026-02-27T02:14:08.109Z [ODDS]  Draw: 2/7 → 1/4, Millonarios: 10/3 → 7/2
2026-02-27T02:14:13.065Z [ODDS]  Deportivo Pereira: 11/1 → 14/1, Draw: 1/4 → 2/9
2026-02-27T02:14:14.418Z [ODDS]  Deportivo Pereira: 14/1 → 12/1, Draw: 2/9 → 1/4
2026-02-27T02:14:23.890Z [ODDS]  Deportivo Pereira: 12/1 → 11/1, Millonarios: 7/2 → 15/4
2026-02-27T02:14:26.144Z [ODDS]  Deportivo Pereira: 11/1 → 14/1, Millonarios: 15/4 → 7/2
2026-02-27T02:14:39.228Z [ODDS]  Deportivo Pereira: 14/1 → 12/1, Draw: 1/4 → 2/9, Millonarios: 7/2 → 4/1
2026-02-27T02:14:54.111Z [ODDS]  Draw: 2/9 → 1/5
2026-02-27T02:15:03.131Z [ODDS]  Deportivo Pereira: 12/1 → 14/1, Millonarios: 4/1 → 9/2
2026-02-27T02:15:13.955Z [ODDS]  Draw: 1/5 → 2/11
2026-02-27T02:15:20.719Z [ODDS]  Draw: 2/11 → 1/6, Millonarios: 9/2 → 5/1
2026-02-27T02:15:48.231Z [ODDS]  Deportivo Pereira: 14/1 → 16/1, Draw: 1/6 → 1/7
2026-02-27T02:16:07.174Z [ODDS]  Deportivo Pereira: 16/1 → 18/1, Draw: 1/7 → 1/8, Millonarios: 5/1 → 11/2
2026-02-27T02:16:18.900Z [ODDS]  Draw: 1/8 → 1/9, Millonarios: 11/2 → 6/1
2026-02-27T02:16:36.951Z [ODDS]  Deportivo Pereira: 18/1 → 20/1, Draw: 1/9 → 1/12, Millonarios: 6/1 → 7/1
