2026-02-26T22:47:18.080Z [ODDS]  Vasco da Gama: 21/10 → 11/5
2026-02-26T22:47:30.709Z [ODDS]  Vasco da Gama: 11/5 → 21/10
2026-02-26T22:48:19.416Z [ODDS]  Vasco da Gama: 21/10 → 11/5
2026-02-26T22:49:06.771Z [ODDS]  Draw: 13/8 → 8/5
2026-02-26T22:50:04.499Z [ODDS]  Vasco da Gama: 11/5 → 9/4, Draw: 8/5 → 13/8, Santos: 7/4 → 13/8
2026-02-26T22:50:12.619Z [ODDS]  Draw: 13/8 → 8/5
2026-02-26T22:50:54.562Z [ODDS]  Santos: 13/8 → 7/4
2026-02-26T22:51:06.739Z [ODDS]  Vasco da Gama: 9/4 → 11/5
2026-02-26T22:51:43.725Z [ODDS]  Vasco da Gama: 11/5 → 9/4
2026-02-26T22:52:40.547Z [ODDS]  Draw: 8/5 → 6/4
2026-02-26T22:52:42.803Z [ODDS]  Vasco da Gama: 9/4 → 5/2, Draw: 6/4 → 8/5, Santos: 7/4 → 8/5
2026-02-26T22:52:47.313Z [ODDS]  Vasco da Gama: 5/2 → 12/5, Draw: 8/5 → 6/4, Santos: 8/5 → 13/8
2026-02-26T22:56:07.108Z [ODDS]  Santos: 13/8 → 7/4
2026-02-26T23:00:21.023Z [ODDS]  Santos: 7/4 → 13/8
2026-02-26T23:02:13.772Z [ODDS]  Draw: 6/4 → 8/5
2026-02-26T23:02:16.929Z [ODDS]  Vasco da Gama: 12/5 → 5/2, Santos: 13/8 → 8/5
2026-02-26T23:10:25.715Z [ODDS]  Vasco da Gama: 5/2 → 13/5
2026-02-26T23:10:27.520Z [ODDS]  Santos: 8/5 → 6/4
2026-02-26T23:10:41.050Z [ODDS]  Vasco da Gama: 13/5 → 12/5, Santos: 6/4 → 8/5
2026-02-26T23:10:45.113Z [ODDS]  Vasco da Gama: 12/5 → 13/5, Santos: 8/5 → 6/4
2026-02-26T23:11:09.015Z [ODDS]  Vasco da Gama: 13/5 → 12/5, Draw: 8/5 → 6/4, Santos: 6/4 → 7/4
2026-02-26T23:11:18.938Z [ODDS]  Santos: 7/4 → 13/8
2026-02-26T23:12:03.138Z [ODDS]  Vasco da Gama: 12/5 → 5/2
2026-02-26T23:12:39.218Z [ODDS]  Vasco da Gama: 5/2 → 13/5
2026-02-26T23:12:52.748Z [ODDS]  Vasco da Gama: 13/5 → 11/4, Santos: 13/8 → 6/4
2026-02-26T23:13:06.278Z [ODDS]  Vasco da Gama: 11/4 → 13/5, Santos: 6/4 → 13/8
2026-02-26T23:14:24.302Z [ODDS]  Draw: 6/4 → 7/5
2026-02-26T23:14:41.891Z [ODDS]  Vasco da Gama: 13/5 → 11/4, Draw: 7/5 → 6/4, Santos: 13/8 → 6/4
2026-02-26T23:15:01.285Z [ODDS]  Vasco da Gama: 11/4 → 13/5, Draw: 6/4 → 7/5, Santos: 6/4 → 13/8
2026-02-26T23:15:05.344Z [ODDS]  Vasco da Gama: 13/5 → 11/4
2026-02-26T23:15:07.598Z [ODDS]  Vasco da Gama: 11/4 → 13/5, Santos: 13/8 → 7/4
2026-02-26T23:15:31.952Z [ODDS]  Vasco da Gama: 13/5 → 11/4, Santos: 7/4 → 13/8
2026-02-26T23:15:41.874Z [ODDS]  Vasco da Gama: 11/4 → 13/5, Santos: 13/8 → 7/4
2026-02-26T23:16:05.775Z [ODDS]  Draw: 7/5 → 11/8
2026-02-26T23:16:33.287Z [ODDS]  Vasco da Gama: 13/5 → 12/5, Draw: 11/8 → 7/5
2026-02-26T23:16:39.148Z [ODDS]  Vasco da Gama: 12/5 → 11/4, Draw: 7/5 → 11/8
2026-02-26T23:16:44.109Z [ODDS]  Draw: 11/8 → 7/5, Santos: 7/4 → 13/8
2026-02-26T23:16:46.365Z [ODDS]  Vasco da Gama: 11/4 → 13/5, Draw: 7/5 → 11/8, Santos: 13/8 → 7/4
2026-02-26T23:16:58.541Z [ODDS]  Vasco da Gama: 13/5 → 12/5, Draw: 11/8 → 7/5, Santos: 7/4 → 15/8
2026-02-26T23:17:04.856Z [ODDS]  Vasco da Gama: 12/5 → 13/5, Draw: 7/5 → 11/8, Santos: 15/8 → 7/4
2026-02-26T23:17:09.817Z [ODDS]  Vasco da Gama: 13/5 → 5/2, Santos: 7/4 → 15/8
2026-02-26T23:17:29.662Z [ODDS]  Vasco da Gama: 5/2 → 13/5, Santos: 15/8 → 7/4
2026-02-26T23:17:41.838Z [ODDS]  Vasco da Gama: 13/5 → 11/4
2026-02-26T23:18:07.997Z [ODDS]  Draw: 11/8 → 13/10
2026-02-26T23:18:11.158Z [ODDS]  Draw: 13/10 → 11/8
2026-02-26T23:18:16.115Z [ODDS]  Vasco da Gama: 11/4 → 13/5
2026-02-26T23:18:17.920Z [ODDS]  Vasco da Gama: 13/5 → 11/4, Draw: 11/8 → 13/10
2026-02-26T23:19:11.140Z [ODDS]  Vasco da Gama: 11/4 → 5/2, Santos: 7/4 → 15/8
2026-02-26T23:19:39.551Z [ODDS]  Vasco da Gama: 5/2 → 11/4, Draw: 13/10 → 5/4, Santos: 15/8 → 7/4
2026-02-26T23:20:04.806Z [ODDS]  Vasco da Gama: 11/4 → 13/5, Santos: 7/4 → 15/8
2026-02-26T23:20:09.768Z [ODDS]  Vasco da Gama: 13/5 → 11/4
2026-02-26T23:20:18.787Z [ODDS]  Draw: 5/4 → 13/10, Santos: 15/8 → 7/4
2026-02-26T23:20:27.812Z [ODDS]  Draw: 13/10 → 5/4, Santos: 7/4 → 15/8
2026-02-26T23:20:42.696Z [ODDS]  Vasco da Gama: 11/4 → 13/5
2026-02-26T23:20:47.654Z [ODDS]  Vasco da Gama: 13/5 → 11/4, Draw: 5/4 → 13/10, Santos: 15/8 → 7/4
2026-02-26T23:21:10.208Z [ODDS]  Vasco da Gama: 11/4 → 13/5, Draw: 13/10 → 5/4, Santos: 7/4 → 15/8
2026-02-26T23:21:19.674Z [ODDS]  Santos: 15/8 → 2/1
2026-02-26T23:21:26.891Z [ODDS]  Draw: 5/4 → 6/5
2026-02-26T23:21:29.145Z [ODDS]  Vasco da Gama: 13/5 → 11/4, Santos: 2/1 → 15/8
2026-02-26T23:21:37.713Z [ODDS]  Vasco da Gama: 11/4 → 5/2, Draw: 6/5 → 5/4, Santos: 15/8 → 2/1
2026-02-26T23:22:00.716Z [ODDS]  Vasco da Gama: 5/2 → 11/4, Draw: 5/4 → 6/5, Santos: 2/1 → 15/8
2026-02-26T23:23:03.858Z [ODDS]  Santos: 15/8 → 2/1
2026-02-26T23:23:20.093Z [ODDS]  Vasco da Gama: 11/4 → 5/2, Santos: 2/1 → 21/10
2026-02-26T23:23:55.273Z [ODDS]  Vasco da Gama: 5/2 → 11/4, Santos: 21/10 → 2/1
2026-02-26T23:24:07.907Z [ODDS]  Draw: 6/5 → 11/10
2026-02-26T23:24:43.079Z [ODDS]  Vasco da Gama: 11/4 → 3/1
2026-02-26T23:25:27.281Z [ODDS]  Vasco da Gama: 3/1 → 14/1, Draw: 11/10 → 10/3, Santos: 2/1 → 3/10
2026-02-26T23:25:27.281Z [EVENT]  score: 2-1
2026-02-26T23:25:34.495Z [ODDS]  Draw: 10/3 → 7/2
2026-02-26T23:26:00.206Z [ODDS]  Santos: 3/10 → 2/7
2026-02-26T23:26:02.458Z [ODDS]  Santos: 2/7 → 3/10
2026-02-26T23:26:08.323Z [ODDS]  Draw: 7/2 → 10/3
2026-02-26T23:27:00.637Z [ODDS]  Draw: 10/3 → 7/2
2026-02-26T23:27:08.772Z [ODDS]  Draw: 7/2 → 10/3
2026-02-26T23:27:19.129Z [ODDS]  Draw: 10/3 → 7/2
2026-02-26T23:27:21.382Z [ODDS]  Santos: 3/10 → 2/7
2026-02-26T23:27:25.896Z [ODDS]  Santos: 2/7 → 3/10
2026-02-26T23:27:40.326Z [ODDS]  Vasco da Gama: 14/1 → 12/1, Draw: 7/2 → 10/3, Santos: 3/10 → 1/3
2026-02-26T23:27:48.907Z [ODDS]  Vasco da Gama: 12/1 → 14/1, Draw: 10/3 → 7/2, Santos: 1/3 → 2/7
2026-02-26T23:28:07.839Z [ODDS]  Draw: 7/2 → 10/3, Santos: 2/7 → 3/10
2026-02-26T23:28:20.013Z [ODDS]  Vasco da Gama: 14/1 → 16/1, Draw: 10/3 → 7/2, Santos: 3/10 → 2/7
2026-02-26T23:29:41.644Z [ODDS]  Draw: 7/2 → 15/4, Santos: 2/7 → 1/4
2026-02-26T23:30:15.471Z [ODDS]  Draw: 15/4 → 7/2, Santos: 1/4 → 2/7
2026-02-26T23:30:33.511Z [ODDS]  Vasco da Gama: 16/1 → 14/1, Draw: 7/2 → 10/3, Santos: 2/7 → 1/3
